Distance,Cosine Similarity
1.0,0.24440916948061797
2.0,0.0034694228342507616
3.0,0.0003356933895007705
4.0,0.0001226819963181007
5.0,0.004591285995975015
6.0,0.0003539324551358971
7.0,0.0
8.0,0.0
9.0,0.0
1.0,0.7304493827940289
1.4142135623730951,0.18631240547946265
2.23606797749979,0.0
3.1622776601683795,0.0
4.123105625617661,0.0
5.0990195135927845,0.0011834392746023347
6.082762530298219,0.00012472104572089883
7.0710678118654755,0.0
8.06225774829855,0.0
9.055385138137417,0.0
2.0,7.615673320686993e-05
2.23606797749979,0.00013686850935178225
2.8284271247461903,0.0
3.605551275463989,0.0
4.47213595499958,0.0
5.385164807134504,0.0
6.324555320336759,0.0
7.280109889280518,0.0
8.246211251235321,0.0
9.219544457292887,0.0
3.0,0.0
3.1622776601683795,0.008996946361560017
3.605551275463989,0.0
4.242640687119285,0.0
5.0,0.0
5.830951894845301,0.0
6.708203932499369,0.0
7.615773105863909,0.0
8.54400374531753,0.00011559431651380531
9.486832980505138,0.00027262804810446515
4.0,0.0
4.123105625617661,0.0
4.47213595499958,0.0
5.0,0.0
5.656854249492381,0.0
6.4031242374328485,9.788894810427651e-07
7.211102550927978,0.0
8.06225774829855,0.0
8.94427190999916,0.0
9.848857801796104,0.0
5.0,0.0
5.0990195135927845,1.640746919316664e-05
5.385164807134504,0.0
5.830951894845301,0.0
6.4031242374328485,0.006829825490499214
7.0710678118654755,0.04236102295610323
7.810249675906654,0.0030393941187156445
8.602325267042627,0.0009901892105427118
9.433981132056603,1.0116431408842685e-05
10.295630140987,0.0
6.0,0.0007030572772554184
6.082762530298219,0.00032990578593119466
6.324555320336759,0.0
6.708203932499369,0.0015462802555561532
7.211102550927978,0.0022495772413153297
7.810249675906654,0.013848138000744517
8.48528137423857,0.00036091642843634074
9.219544457292887,0.002344222164118565
10.0,0.00010629950838260368
10.816653826391969,6.155521442268859e-05
7.0,0.0
7.0710678118654755,0.0
7.280109889280518,0.0
7.615773105863909,0.0
8.06225774829855,0.00039655240192182747
8.602325267042627,3.064482139478988e-05
9.219544457292887,0.0
9.899494936611665,0.0
10.63014581273465,0.0
11.40175425099138,0.0
8.0,0.006268721772366317
8.06225774829855,0.0
8.246211251235321,0.0
8.54400374531753,0.0
8.94427190999916,0.0
9.433981132056603,0.0
10.0,0.0
10.63014581273465,0.0
11.313708498984761,0.0
12.041594578792296,0.0
9.0,0.010871503896682452
9.055385138137417,9.802307067212307e-05
9.219544457292887,0.0
9.486832980505138,0.0
9.848857801796104,0.0
10.295630140987,0.0
10.816653826391969,0.0
11.40175425099138,0.0
12.041594578792296,0.0
12.727922061357855,0.0
1.0,0.0851208875451241
2.0,0.002075286466373079
3.0,0.00026550430399011353
4.0,0.010391244326522091
5.0,0.07001407139340976
6.0,0.016657991268234057
7.0,0.005118996670531278
8.0,0.012872357474723628
1.4142135623730951,0.10977169212436376
1.0,0.13717256082126617
1.4142135623730951,0.00823038810238043
