model,environment,x,y,cosine_similarity_sum
2D_250,inside_medium,-4.690847290255194,-4.684158230109175,1.4364729994326697
2D_250,inside_medium,-4.690847290255194,-4.349382107130228,0.1251525669583599
2D_250,inside_medium,-4.690847290255194,-4.01460598415128,0.11298338339978678
2D_250,inside_medium,-4.690847290255194,-3.6798298611723324,1.6744967912868653
2D_250,inside_medium,-4.690847290255194,-3.3450537381933847,34.30423116726766
2D_250,inside_medium,-4.690847290255194,-3.010277615214437,40.28396420570048
2D_250,inside_medium,-4.690847290255194,-2.675501492235489,35.85012916657899
2D_250,inside_medium,-4.690847290255194,-2.3407253692565413,6.537801109220242
2D_250,inside_medium,-4.690847290255194,-2.0059492462775936,2.7303540156701063
2D_250,inside_medium,-4.690847290255194,-1.671173123298646,23.34345611884571
2D_250,inside_medium,-4.690847290255194,-1.3363970003196983,46.615417981661324
2D_250,inside_medium,-4.690847290255194,-1.0016208773407507,50.1770972323625
2D_250,inside_medium,-4.690847290255194,-0.6668447543618026,0.0
2D_250,inside_medium,-4.690847290255194,-0.3320686313828549,8.534477596045285
2D_250,inside_medium,-4.690847290255194,0.002707491596092737,0.14799197771623265
2D_250,inside_medium,-4.690847290255194,0.3374836145750404,0.0
2D_250,inside_medium,-4.690847290255194,0.672259737553988,1.9855085871381262
2D_250,inside_medium,-4.690847290255194,1.0070358605329357,18.01847206884529
2D_250,inside_medium,-4.690847290255194,1.3418119835118834,14.71575807575479
2D_250,inside_medium,-4.690847290255194,1.676588106490831,9.004481820016919
2D_250,inside_medium,-4.690847290255194,2.0113642294697787,16.22384896107861
2D_250,inside_medium,-4.690847290255194,2.3461403524487263,22.41568342406274
2D_250,inside_medium,-4.690847290255194,2.680916475427674,18.345502585800567
2D_250,inside_medium,-4.690847290255194,3.0156925984066216,9.844972011591523
2D_250,inside_medium,-4.690847290255194,3.35046872138557,2.0994562147805835
2D_250,inside_medium,-4.690847290255194,3.685244844364518,0.5111055385387017
2D_250,inside_medium,-4.690847290255194,4.0200209673434655,0.5480090451868066
2D_250,inside_medium,-4.690847290255194,4.354797090322413,0.501448502971287
2D_250,inside_medium,-4.690847290255194,4.689573213301361,0.8532179057784548
2D_250,inside_medium,-4.503269858345831,-4.684158230109175,0.6669842024182535
2D_250,inside_medium,-4.503269858345831,-4.349382107130228,0.38204605344503867
2D_250,inside_medium,-4.503269858345831,-4.01460598415128,0.11793698254200587
2D_250,inside_medium,-4.503269858345831,-3.6798298611723324,0.11049277821229023
2D_250,inside_medium,-4.503269858345831,-3.3450537381933847,40.23034083444949
2D_250,inside_medium,-4.503269858345831,-3.010277615214437,41.661350104267456
2D_250,inside_medium,-4.503269858345831,-2.675501492235489,39.14403672779673
2D_250,inside_medium,-4.503269858345831,-2.3407253692565413,5.581201215254901
2D_250,inside_medium,-4.503269858345831,-2.0059492462775936,5.01233930361754
2D_250,inside_medium,-4.503269858345831,-1.671173123298646,23.382334485008734
2D_250,inside_medium,-4.503269858345831,-1.3363970003196983,42.92011434505338
2D_250,inside_medium,-4.503269858345831,-1.0016208773407507,49.363991897590964
2D_250,inside_medium,-4.503269858345831,-0.6668447543618026,27.622293796341065
2D_250,inside_medium,-4.503269858345831,-0.3320686313828549,2.75755057148971
2D_250,inside_medium,-4.503269858345831,0.002707491596092737,0.9691916362082141
2D_250,inside_medium,-4.503269858345831,0.3374836145750404,2.8510891556524522
2D_250,inside_medium,-4.503269858345831,0.672259737553988,4.94475102241185e-06
2D_250,inside_medium,-4.503269858345831,1.0070358605329357,21.16553338770856
2D_250,inside_medium,-4.503269858345831,1.3418119835118834,17.059193632211393
2D_250,inside_medium,-4.503269858345831,1.676588106490831,6.98345836209116
2D_250,inside_medium,-4.503269858345831,2.0113642294697787,16.960651883006097
2D_250,inside_medium,-4.503269858345831,2.3461403524487263,22.254078231168688
2D_250,inside_medium,-4.503269858345831,2.680916475427674,18.97743869843872
2D_250,inside_medium,-4.503269858345831,3.0156925984066216,11.306532536669385
2D_250,inside_medium,-4.503269858345831,3.35046872138557,3.0259045308902874
2D_250,inside_medium,-4.503269858345831,3.685244844364518,0.45189732491434975
2D_250,inside_medium,-4.503269858345831,4.0200209673434655,0.5397578493237636
2D_250,inside_medium,-4.503269858345831,4.354797090322413,0.590497678043782
2D_250,inside_medium,-4.503269858345831,4.689573213301361,0.3673251839803541
2D_250,inside_medium,-4.315692426436469,-4.684158230109175,0.11478913915629557
2D_250,inside_medium,-4.315692426436469,-4.349382107130228,0.11251165496840836
2D_250,inside_medium,-4.315692426436469,-4.01460598415128,0.1734099415597958
2D_250,inside_medium,-4.315692426436469,-3.6798298611723324,0.11790236235640014
2D_250,inside_medium,-4.315692426436469,-3.3450537381933847,31.05616070269722
2D_250,inside_medium,-4.315692426436469,-3.010277615214437,38.21440266219196
2D_250,inside_medium,-4.315692426436469,-2.675501492235489,35.343349147779065
2D_250,inside_medium,-4.315692426436469,-2.3407253692565413,16.694692920172177
2D_250,inside_medium,-4.315692426436469,-2.0059492462775936,3.207262004438316
2D_250,inside_medium,-4.315692426436469,-1.671173123298646,28.446944365565535
2D_250,inside_medium,-4.315692426436469,-1.3363970003196983,42.32704239743327
2D_250,inside_medium,-4.315692426436469,-1.0016208773407507,46.54712527328548
2D_250,inside_medium,-4.315692426436469,-0.6668447543618026,38.17308901246029
2D_250,inside_medium,-4.315692426436469,-0.3320686313828549,0.21292249844073255
2D_250,inside_medium,-4.315692426436469,0.002707491596092737,0.0
2D_250,inside_medium,-4.315692426436469,0.3374836145750404,9.418805493947072e-05
2D_250,inside_medium,-4.315692426436469,0.672259737553988,3.8886741175523416
2D_250,inside_medium,-4.315692426436469,1.0070358605329357,12.643806866543722
2D_250,inside_medium,-4.315692426436469,1.3418119835118834,24.262828914914902
2D_250,inside_medium,-4.315692426436469,1.676588106490831,10.391757619523219
2D_250,inside_medium,-4.315692426436469,2.0113642294697787,16.217576667091507
2D_250,inside_medium,-4.315692426436469,2.3461403524487263,24.13314758952191
2D_250,inside_medium,-4.315692426436469,2.680916475427674,13.025071127467466
2D_250,inside_medium,-4.315692426436469,3.0156925984066216,11.234027546189264
